R990604,R829866
R875818,R578641
R707223,R915901
R474632,R928888
R737401,R459970
R107416,R466383
R454893,R110664
R250310,R110589
R405930,R810204
R634056,R968416
R772055,R467837
R603695,R344564
R297309,R427978
R793512,R213523
R792161,R613641
R680982,R826445
R825022,R869784
R190265,R862748
R780331,R416772
R222203,R824327
R255842,R804354
R726660,R370585
R235668,R348130
R875693,R568181
R113040,R679171
R126115,R396929
R327652,R731811
R271665,R168935
R276519,R295365
R285143,R698855
R252633,R827313
R424711,R907156
R248015,R122703
R705725,R656397
R171309,R520081
R923180,R518867
R809704,R297455
R465009,R533235
R226498,R787530
R429187,R396646
R238503,R311364
R370700,R151046
R174654,R482949
R581484,R828094
R235090,R143742
R963904,R875775
R802286,R123153
R679522,R239241
R176777,R784170
R571774,R326582
R276253,R920200
R640171,R190333
R694950,R335021
R778925,R203525
R532392,R831483
R844695,R699693
R179556,R719554
R405847,R980329
R453368,R423198
R915151,R899401
R191702,R590860
R443011,R574972
R783871,R313551
R329874,R382004
R170787,R302418
R615216,R169581
R310844,R948728
R990662,R464615
R293751,R419114
R477179,R472494
R978134,R849347
R156860,R676797
R906433,R208208
R511012,R461573
R192439,R577607
R432688,R607082
R257154,R201923
R932259,R467756
R366034,R500105
R477849,R545492
R870573,R961298
R979265,R722275
R970605,R506379
R999183,R908380
R532303,R949429
R110430,R652593
R409608,R684429
R962859,R770945
R766890,R501994
R952418,R289750
R725851,R721689
R336290,R686050
R946620,R418076
R148289,R307771
R837284,R211273
R607308,R451656
R519020,R364624
R779027,R100911
R491536,R339677
R723334,R612287
R939363,R477721
R937555,R390327
R964695,R988846
R420028,R804193
R709277,R805146
R574235,R446942
R262339,R156810
R569957,R795918
R834121,R188920
R687855,R117941
R771509,R681409
R588019,R319117
R278572,R628645
R949864,R837596
R799932,R609636
R899087,R710356
R728465,R119108
R612939,R917119
R854721,R696024
R125894,R602815
R275195,R724673
R558243,R660959
R880348,R937941
R115410,R914850
R310832,R234817
R708929,R450361
R484056,R139078
R355519,R797408
R768794,R337121
R605160,R667827
R717403,R422426
R786625,R417230
R182984,R251834
R169936,R733105
R734095,R499864
R307586,R178568
R849791,R452203
R241459,R405147
R783099,R926907
R648029,R431008
R606564,R260944
R860617,R404753
R147516,R746439
R376796,R901473
R160766,R437110
R832248,R330211
R341610,R861178
R600312,R373260
R251288,R141765
R852284,R493122
R154219,R811615
R931940,R180546
R318420,R727491
R973224,R205171
R753996,R704941
R481273,R180197
R297975,R433232
R306092,R567120
R376942,R347279
R584006,R825128
R295888,R432878
R393622,R953699
R754576,R334200
R355904,R988047
R488109,R471109
R333259,R281995
R154970,R341979
R271636,R208125
R554870,R158404
R527572,R998103
R868907,R755744
R484947,R963217
R784273,R254950
R553415,R205751
R424404,R959732
R776436,R449719
R250129,R105835
R158094,R186622
R595584,R116591
R348747,R585701
R657549,R988052
R716999,R595831
R753598,R129526
R642378,R415256
R945788,R510517
R836899,R241333
R151296,R895697
R177313,R405218
R392607,R537216
R154133,R831515
R897219,R556713
R531968,R421617
R368229,R716960
R754743,R919459
R130550,R875981
R759704,R293197
R813717,R264623
R956240,R118269
R524193,R769253
R448075,R701697
R527368,R118585
R209219,R655635
R305890,R856951
R232645,R559861
R498940,R899107
R510258,R220590
R740861,R384331
R168730,R415390
R546095,R271050
R216745,R646175
R649934,R331532
R664085,R762357
R597481,R180624
R573398,R562855
R868180,R561272
R465199,R374739
R656982,R143717
R967166,R684808
R367945,R278415
R480066,R141103
R814154,R522098
R309145,R452609
R215940,R146074
R147807,R813485
R437660,R135416
R993003,R819426
R760758,R583435
R337833,R263464
R163901,R383157
R294015,R829903
R686658,R814757
R898101,R263639
R714377,R321561
R958255,R550373
R801866,R790089
R950250,R168098
R682844,R728207
R223744,R985548
R382147,R740645
R924594,R168562
R548167,R687940
R859758,R866253
R168152,R659905
R468350,R743577
R544612,R914760
R417599,R163660
R802452,R109900
R100147,R688193
R882551,R349649
R634111,R165476
R649806,R254587
R510241,R822193
R550300,R994107
R845748,R100140
R952220,R546408
R224582,R409700
R619633,R642346
R452523,R813568
R795763,R801740
R450248,R753175
R879945,R442688
R125755,R492253
R599359,R348471
R756425,R134674
R369522,R866053
R938271,R726056
R966527,R822008
R172753,R232308
R245142,R506502
R332469,R788791
R342043,R250318
R773454,R627626
R953317,R886182
R352680,R162025
R189859,R190690
R296404,R707128
R371035,R606119
R718040,R669202
R486205,R605053
R968243,R695717
R390972,R698882
R545946,R378713
R203885,R627819
R360688,R936926
R969425,R614291
R583006,R284170
R627959,R279515
R152078,R677631
R308188,R802982
R343198,R496767
R518458,R656722
R863864,R991958
R919289,R435183
R663265,R866296
R259246,R948275
R197683,R195930
R832228,R641818
R922080,R782686
R420245,R169364
R243816,R402953
R872014,R289376
R123140,R874652
R518644,R175690
R933242,R871052
R687565,R658476
R311786,R141795
R258118,R510480
R447890,R720619
R455185,R753429
R769958,R804951
R436936,R130506
R468524,R333034
R542182,R326894
R559768,R308507
R334168,R122284
R550219,R834654
R328418,R418400
R914102,R813988
R397289,R630412
R717953,R633475
R928961,R160696
R673789,R962672
R307798,R919848
R154097,R923646
R647852,R752770
R884114,R116100
R468425,R544162
R715288,R971332
R293282,R390558
R666060,R180189
R135309,R207268
R875098,R576040
R914291,R880693
R310398,R526260
R292005,R394124
R468279,R582089
R320094,R836590
R399070,R727971
R868576,R641119
R542016,R407315
R919735,R796199
R945423,R817283
R875275,R568613
R475706,R363711
R186308,R260797
R132755,R830221
R408528,R242648
R717212,R341746
R704332,R915379
R734883,R415123
R686195,R113949
R725788,R487481
R522148,R810113
R682497,R898987
R937621,R764642
R958047,R176916
R101181,R709666
R322816,R720641
R870769,R294242
R291378,R726882
R616204,R543943
R221614,R575919
R381684,R205138
R454098,R336366
R134989,R720730
R411904,R460727
R545914,R516029
R523694,R279877
R474369,R552305
R970571,R368024
R248801,R776935
R982382,R429881
R143116,R411811
R860014,R261696
R534749,R667762
R442007,R360169
R274871,R964752
R501437,R377447
R305595,R656231
R475953,R922121
R542394,R835369
R110647,R869861
R959830,R621919
R609894,R816526
R622966,R579547
R792804,R805690
R769140,R935870
R689521,R132710
R972202,R536126
R870671,R586405
R552552,R715800
R847870,R877388
R166631,R508222
R714938,R281399
R841927,R597096
R445471,R160679
R285280,R944220
R455318,R167889
R563846,R906446
R134958,R867366
R301278,R584516
R671441,R308288
R906142,R792952
R601969,R625050
R156062,R152013
R903213,R598882
R463476,R921689
R747447,R335679
R174811,R209602
R951150,R938926
R962111,R647810
R695434,R138006
R389254,R966128
R786097,R396846
R117654,R351832
R671145,R963005
R195558,R952788
R720936,R250920
R321593,R671083
R947762,R470029
R176720,R228766
R330317,R283386
R939834,R379535
R619903,R164716
R685561,R551738
R399767,R561341
R670497,R304880
R844733,R831663
R468895,R411258
R663505,R197373
R723462,R921954
R744651,R249399
R721997,R213055
R532851,R437646
R454520,R543505
R628303,R739514
R179221,R680812
R775796,R187010
R432440,R981876
R398609,R525199
R596867,R386608
R546518,R944016
R509444,R896894
R461180,R277371
R342566,R303570
R934888,R819633
R575383,R670973
R344123,R774981
R277552,R703392
R818309,R739051
R265171,R510464
R683580,R257542
R507597,R934504
R415039,R198998
R243322,R837744
R542296,R297613
R374334,R185252
R111342,R540786
R471455,R350942
R401340,R965354
R465879,R111314
R194974,R832211
R488521,R917018
R754734,R866363
R220258,R137715
R350478,R141579
R231996,R911252
R650316,R451258
R389570,R416776
R311508,R613873
R842875,R940725
R491773,R264976
R215846,R852499
R601064,R979527
R176135,R768302
R574928,R222369
R790837,R924006
R796703,R320072
R713101,R378145
R263540,R104091
R699289,R533570
R304596,R916998
R566172,R500990
R328852,R257187
R700481,R239031
R478276,R310802
R647315,R811452
R821879,R430184
R463648,R885071
R844231,R796432
R207799,R169137
R257560,R716598
R749893,R896216
R824529,R370844
R943709,R987716
R662674,R327476
R132475,R748828
R418602,R740769
R397190,R421391
R906230,R381931
R517666,R874139
R692493,R435352
R322437,R545340
R173840,R430950
R897294,R211636
R873112,R847704
R285763,R282123
R209485,R604732
R814541,R562049
R399001,R401309
R594315,R240698
R852094,R557805
R204675,R488323
R366180,R882848
R790766,R109918
R882310,R594749
R941576,R733235
R451461,R418719
R823192,R947592
R347422,R522759
R981092,R314635
R545321,R391705
R742754,R776597
R539034,R416138
R181684,R545189
R755481,R506041
R569055,R696959
R826702,R694354
R501825,R246340
R996710,R306848
R957322,R974414
R890804,R215572
R264867,R623139
R271621,R329720
R508011,R675073
R791223,R414673
R904175,R343054
R429097,R907378
R482033,R845400
R317706,R932327
R197872,R730067
R708872,R358147
R177461,R600877
R672829,R314960
R597407,R538315
R608491,R963245
R209937,R999237
R762057,R974292
R531310,R747569
R908092,R745517
R875322,R597538
R766377,R607441
R101867,R796825
R863099,R339478
R200244,R404068
R741581,R265059
R413115,R857775
R102220,R825098
R964775,R489972
R669353,R430526
R606165,R537076
R128780,R264913
R154421,R781595
R970458,R102114
R612324,R459521
R522706,R200164
R273925,R815985
R166953,R462201
R454530,R777307
R938478,R183784
R888604,R603126
R990942,R128433
R442828,R959203
R275470,R185790
R584123,R753579
R939505,R458538
R564828,R873491
R992531,R174082
R597464,R876507
R195615,R327917
R333560,R676285
R542984,R774402
R554048,R431059
R640537,R505939
R726628,R985828
R466672,R321667
R319787,R838553
R726761,R738319
R625977,R138262
R943004,R100696
R514732,R997672
R474724,R851522
R793773,R515655
R715947,R476400
R102593,R800632
R847273,R130803
R604325,R297154
R148002,R395402
R596037,R296750
R926798,R986373
R486671,R926800
R796275,R283526
R605988,R897689
R361960,R906163
R720683,R748662
R588035,R837747
R733784,R634933
R757656,R998620
R488379,R768916
R575511,R119636
R947508,R740030
R989968,R588868
R386229,R152332
R662587,R218247
R410685,R285961
R352287,R677522
R432759,R240381
R782456,R626242
R494017,R613038
R502431,R157650
R577724,R889960
R859244,R114600
R146857,R756368
R718165,R266608
R458503,R187290
R709785,R343610
R601991,R764718
R789134,R263772
R126186,R954776
R856227,R176767
R153061,R480893
R514622,R628249
R561782,R943345
R639397,R484503
R705289,R481381
R702052,R392683
R574253,R579078
R774372,R553478
R446908,R735734
R492899,R835820
R728185,R196225
R661997,R937243
R610253,R467535
R610432,R247120
R151938,R154749
R128389,R920235
R582780,R860727
R374775,R702965
R504709,R394041
R824257,R932437
R261381,R845784
R442553,R688545
R213013,R834040
R254890,R159940
R263133,R156716
R611053,R767743
R204076,R309474
R858522,R748947
R939471,R776823
R448844,R990333
R792549,R660590
R348705,R427512
R862788,R403403
R755053,R307764
R604120,R130384
R950620,R187193
R794528,R608786
R588410,R540607
R936057,R500662
R821997,R778503
R613822,R561806
R473961,R785664
R416387,R510254
R463270,R964968
R848861,R507344
R887191,R236626
R130408,R252067
R291204,R821732
R257672,R757186
R122864,R477828
R308615,R757558
R183535,R215531
R760417,R409812
R994910,R365528
R116306,R662826
R172324,R410007
R577677,R789271
R503094,R820091
R747762,R965840
R105574,R681745
R888351,R710147
R236775,R989079
R765305,R713883
R451428,R306222
R683044,R918912
R903367,R778695
R262587,R790204
R228832,R293020
R888221,R844403
R230935,R178754
R666590,R255082
R462117,R170328
R559641,R302591
R322714,R725507
R351440,R111595
R133795,R107246
R124526,R113951
R572131,R149105
R585338,R127761
R578520,R593284
R708604,R245681
R238929,R501860
R117745,R470136
R850449,R929220
R915141,R170436
R229392,R918427
R290364,R752611
R858331,R400708
R463990,R657191
R212613,R319959
R828798,R256967
R848366,R627124
R862771,R507180
R565379,R925586
R247332,R803734
R454126,R917035
R232680,R567910
R146389,R341361
R155605,R340362
R657313,R769622
R634488,R765623
R440284,R792949
R821684,R349186
R310846,R597452
R407104,R428867
R689566,R191534
R702831,R247235
R721436,R227761
R517331,R732025
R808799,R119088
R467732,R418858
R530323,R381450
R921708,R897347
R302361,R994456
R236471,R790197
R550712,R337634
R294806,R493109
R105993,R958326
R440918,R506299
R788159,R369498
R212150,R954030
R537511,R414130
R536523,R212079
R596942,R632789
R312291,R843845
R993081,R803797
R558177,R200787
R338913,R364076
R401894,R244958
R589424,R603348
R866836,R684248
R304989,R565081
R386462,R647674
R637853,R937863
R401587,R183260
R841622,R262535
R705759,R312502
R335599,R688928
R820894,R562857
R116887,R421926
R386820,R159751
R213064,R704661
R894744,R668142
R245327,R679069
R733765,R148075
R927349,R889292
R101170,R661626
R649070,R553031
R621759,R439700
R706386,R897277
R289659,R204996
R625424,R887213
R543858,R669936
R206220,R252976
R200947,R793596
R457430,R808599
R283038,R852124
R743014,R963325
R195160,R788290
R455620,R355068
R442742,R172455
R816481,R839881
R420739,R692305
R598026,R917448
R301830,R264247
R495252,R206801
R598724,R176998
R659728,R973556
R509527,R201513
R881438,R324574
R394370,R976589
R905185,R671296
R305950,R596824
R965061,R532152
R762864,R459708
R266504,R919585
R547817,R975258
R635856,R731395
R794345,R150381
R460357,R537928
R369881,R431801
R336395,R553584
R448772,R501377
R816352,R313714
R258003,R195746
R536099,R649694
R868286,R709826
R375297,R450461
R895880,R545968
R323686,R296172
R822907,R502949
R657210,R530274
R247168,R230038
R224962,R883152
R582102,R555453
R346474,R253688
R414635,R247792
R708909,R468436
R892387,R209787
R604110,R106765
R842271,R405699
R667264,R162841
R681257,R226540
R590263,R384523
R252258,R745179
R281213,R821059
R162437,R694213
R755033,R794651
R714005,R234980
R901456,R869328
R500149,R408555
R397351,R824719
R900863,R262910
R359516,R866219
R231753,R448061
R845296,R429567
R682226,R544634
R544516,R110980
R610692,R761388
R796757,R618159
R580036,R354049
R444028,R703649
R977631,R655548
R920508,R227630
R184764,R662706
R771619,R352301
R334761,R699081
R282491,R979295
R849697,R582907
R193302,R534623
R212678,R201202
R750473,R315264
R417154,R117080
R106994,R285554
R221559,R361860
R918420,R291376
R591069,R493614
R380343,R656994
R378738,R974067
R828816,R584229
R970986,R457006
R811449,R522633
R160084,R677802
R711805,R698453
R262245,R474809
R488958,R302943
R884652,R553547
R810022,R132383
R510361,R670052
R386171,R795102
R321162,R448715
R879328,R535176
R628700,R552050
R284936,R770928
R576491,R755087
R372136,R838589
R632102,R557476
R663335,R467970
R870131,R453497
R707813,R425083
R588401,R366705
R367270,R394626
R589974,R254208
R725291,R752956
R698571,R264270
R215106,R756699
R446306,R777910
R230568,R359758
R127791,R903061
R520919,R886610
R185934,R928622
R584029,R519215
R268353,R549768
R561971,R607049
R654297,R295908
R445685,R336752
R413282,R237184
R327631,R842483
R822645,R755540
R973901,R780009
R320538,R373410
R837678,R383100
R496843,R593226
R556060,R779645
R183395,R902669
R509763,R957982
R563254,R777223
R187954,R493124
R544499,R851050
R812946,R816528
R951941,R219761
R390709,R496598
R727641,R413747
R236809,R867256
R953298,R724347
R428635,R957272
R850248,R749556
R400690,R176255
R438315,R131491
R713834,R460122
R657942,R200257
R366165,R825667
R366063,R265294
R391005,R385982
R969722,R240931
R180207,R959468
R510373,R263080
R718850,R315664
R433680,R383970
R523894,R177213
R533578,R202246
R188128,R115473
R877457,R707578
R426217,R491567
R365540,R896169
R693110,R378868
R554235,R205407
R709791,R735580
R793862,R728372
R982439,R683367
R541614,R178193
R947606,R254562
R198768,R968787
R508396,R781787
R411117,R121984
R268247,R304452
R569278,R584538
R204045,R817167
R571914,R815295
R449875,R155494
R353508,R760886
R137368,R848653
R573525,R975265
R441168,R570656
R368006,R551948
R940043,R337818
R826291,R428335
R962412,R972046
R857048,R217877
R472118,R811270
R327813,R113141
R319119,R108672
R759744,R350802
R892094,R503304
R448015,R496526
R700657,R301308
R899655,R983042
R606636,R468622
R466186,R158518
R504599,R404007
R351360,R120898
R192087,R486663
R439395,R579749
R118790,R831305
R867662,R854811
R851727,R932106
R566357,R125991
R722516,R100733
R606698,R104704
R372469,R569848
R668674,R861064
R312386,R605355
R180675,R231287
R296562,R934759
R336295,R682736
R229781,R305520
R914806,R274842
R956692,R925254
R410107,R227333
R673530,R566750
R840769,R879261
R666923,R858116
R760557,R722308
R602306,R345439
R959752,R736468
R801792,R618742
R208774,R930497
R653221,R940819
R720996,R179143
R120658,R591565
R150743,R440006
R242059,R215558
R658240,R252441
R644110,R284175
R876056,R995551
R597269,R502348
R606138,R127238
R669214,R569228
R963498,R755758
R975662,R778025
R968616,R139688
R898247,R179403
R950604,R345612
R939810,R888161
R420074,R322546
R486172,R863128
R876034,R536947
R271331,R665735
R901290,R587735
R471594,R580967
R685546,R955729
R298210,R823306
R480299,R834730
R267170,R204723
R810829,R139728
R704981,R284452
R799134,R133447
R148566,R132639
R619996,R548015
R592179,R778981
R498337,R253875
R654950,R679668
R509018,R265477
R430042,R852363
R243884,R414900
R625537,R748248
R836700,R201586
R568651,R706332
R615016,R846793
R990102,R723663
R693459,R595940
R564453,R354760
R805919,R868845
R782347,R534225
R652117,R489666
R609256,R806995
R115809,R912880
R358039,R655494
R881511,R533192
R929719,R544881
R451883,R235386
R412884,R438578
R431850,R409221
R401797,R848805
R408979,R698400
R399824,R349895
R628235,R396886
R153479,R148226
R196594,R827967
R999774,R255197
R139422,R500117
R838746,R279912
R548373,R367846
R345631,R149043
R569517,R576144
R511272,R741844
R399223,R899250
R719723,R508653
R438012,R460103
R994746,R705318
R284752,R803409
R493877,R610572
R953996,R620227
R947323,R382828
R903401,R959406
R757840,R315223
R257149,R727806
R243823,R104660
R370366,R943235
R788686,R586134
R319665,R300823
R878338,R429350
R956432,R283812
R705943,R574847
R167633,R798094
R218758,R144060
R575821,R440642
R887676,R521074
R648831,R205863
R254221,R784825
R996925,R704954
R880130,R227005
R597535,R843197
R657417,R961903
R221592,R163474
R492742,R620012
R819562,R507430
R601306,R562802
R153636,R918867
R442441,R107610
R428306,R912399
R950703,R554719
R864118,R265385
R892799,R680995
R119550,R909440
R130088,R972049
R558679,R559875
R554608,R566609
R233298,R815332
R423360,R177190
R710534,R339137
R247654,R572894
R493368,R400997
R941458,R829858
R483486,R824555
R106979,R272215
R568495,R720714
R516337,R329304
R420255,R580268
R329349,R820981
R918198,R741227
R596110,R354922
R414614,R237569
R405257,R544915
R319758,R526401
R499404,R114961
R927067,R223046
R771849,R977408
R241407,R690430
R877992,R969153
R882606,R581487
R896458,R864007
R698010,R646126
R987661,R541322
R228219,R356566
R360723,R161954
R691870,R618613
R382299,R341013
R467866,R221239
R871077,R541928
R624564,R787736
R114892,R907028
R272682,R932101
R542716,R981354
R668851,R570348
R268023,R591546
R868003,R338445
R167728,R367416
R340660,R690234
R835386,R267135
R792546,R474697
R517205,R214649
R956805,R815641
R638148,R788753
R523938,R641798
R391000,R755831
R613105,R916420
R545193,R382354
R208441,R523772
R401305,R477123
R728814,R129241
R443347,R799375
R322732,R942461
R479711,R487422
R968913,R407503
R689708,R462795
R632302,R332539
R858051,R878453
R277653,R662811
R762337,R175474
R349214,R433612
R520914,R786772
R543623,R183052
R714280,R417976
R496186,R641760
R194723,R828645
R915734,R596765
R431838,R892506
R746890,R892755
R432690,R684413
R514323,R966884
R419937,R843595
R938068,R129769
R658137,R800780
R938746,R873591
R481022,R273435
R373044,R843348
R467646,R493064
R868794,R543316
R432384,R779245
R497675,R680796
R945334,R210856
R481826,R982617
R470802,R501042
R850530,R745079
R461213,R415515
R404847,R757454
R606757,R812201
R697421,R539475
R927812,R598537
R852637,R631351
R978509,R553621
R455767,R692824
R469063,R645141
R379770,R352764
R884339,R754014
R924151,R374203
R460489,R289608
R503520,R738771
R652395,R858735
R290182,R373983
R105261,R763683
R853587,R625879
R731408,R812967
R757177,R683092
R752560,R931855
R939317,R858430
R550691,R462593
R585968,R534378
R475450,R752792
R754691,R986770
R203434,R284173
R542753,R539125
R433736,R738506
R730139,R225254
R120307,R520543
R979664,R256683
R821031,R350503
R604186,R513410
R319091,R472462
R743397,R554603
R784722,R401229
R467606,R345504
R206321,R326769
R436900,R705695
R559322,R964215
R707827,R600046
R750301,R842026
R182607,R936882
R880719,R443397
R399485,R796233
R568370,R114740
R348984,R584583
R114135,R657937
R347534,R370757
R159814,R863790
R442380,R613280
R343039,R166557
R914595,R718514
R120924,R969746
R665526,R598372
R549775,R941566
R682503,R345732
R794506,R424642
R217282,R365041
R572159,R966868
R744631,R988644
R603870,R759090
R876060,R868527
R239765,R539370
R294519,R955843
R218334,R261995
R323610,R233596
R852774,R364759
R605745,R481071
R471896,R192237
R120620,R924724
R957709,R646591
R411496,R100621
R543053,R464990
R822851,R206646
R101961,R985844
R207788,R216368
R713312,R964724
R871351,R683503
R111376,R946109
R257113,R448311
R618700,R519216
R924212,R936163
R187549,R583614
R667709,R703748
R619960,R212137
R335010,R799061
R910919,R584523
R787628,R383215
R990584,R974798
R860402,R346713
R738160,R400030
R756344,R145852
R797460,R241766
R479500,R711328
R587513,R432500
R664397,R633485
R180894,R221217
R390160,R852561
R336734,R780694
R996052,R590693
R671251,R370175
R810674,R142663
R256940,R893731
R570885,R451988
R280890,R253637
R360840,R716137
R475036,R661552
R784175,R119639
R911921,R499358
R330152,R608778
R350483,R755237
R349543,R364173
R517644,R143660
R525338,R905216
R866596,R825108
R418277,R760668
R864137,R729630
R927202,R343251
R375255,R602484
R193059,R652343
R885706,R183587
R753586,R196862
R670935,R443428
R456418,R300523
R362815,R712837
R523819,R784838
R902078,R904299
R615512,R673001
R495611,R877917
R342005,R384355
R631090,R989248
R622559,R106721
R488644,R468986
R796316,R866580
R608428,R300291
R818934,R138960
R699011,R627326
R151946,R686095
R321241,R943487
R465624,R208843
R289440,R769791
R378584,R288624
R880784,R321436
R395549,R832811
R723463,R126672
R853567,R749670
R241462,R192037
R574580,R813959
R508502,R877718
R285949,R917710
R205796,R698583
R869714,R480666
R788442,R314065
R132353,R217246
R183045,R904593
R508123,R831405
R350087,R130014
R104547,R705998
R525384,R671167
R427283,R283840
R908778,R984209
R292523,R457890
R326944,R123235
R385274,R873100
R784806,R312694
R631314,R570650
R201713,R461995
R983891,R830615
R345962,R229852
R189136,R751905
R139155,R331602
R284719,R772865
R892754,R617017
R565722,R571617
R376260,R488799
R988167,R215673
R466164,R244198
R877044,R114637
R475325,R452102
R386261,R378076
R749388,R372767
R929480,R509560
R170856,R649792
R282039,R659509
R526982,R661441
R132900,R715789
R231972,R147782
R335532,R242949
R914186,R115822
R611393,R592320
R438441,R170432
R953377,R827279
R180115,R464782
R689040,R428114
R503438,R661234
R350431,R225935
R776807,R589482
R316275,R608109
R647603,R879319
R965561,R945372
R940223,R518119
R200069,R904920
R267638,R377200
R600273,R816766
R806892,R933598
R220431,R764790
R830287,R570764
R175753,R376883
R777487,R868129
R334844,R636035
R109857,R663618
R736910,R744926
R823925,R402970
R664726,R609116
R863514,R901462
R747146,R640219
R915626,R167638
R603141,R384422
R715713,R633396
R908801,R209686
R713009,R155074
R520730,R233663
R507800,R171135
R363105,R461823
R376837,R747957
R843578,R988538
R145351,R440133
R181351,R843760
R663573,R957152
R205359,R212686
R460242,R332653
R425986,R411689
R195422,R755059
R677687,R666819
R684425,R837940
R319201,R536433
R129546,R994823
R630737,R621908
R531733,R699789
R920109,R907355
R182312,R878145
R727950,R779466
R926765,R485175
R403656,R226764
R321917,R456842
R738233,R579301
R157403,R460838
R783044,R386351
R451868,R553686
R152894,R256845
R890734,R732235
R754312,R909950
R283675,R340575
R605000,R340132
R283732,R150863
R481812,R184768
R795670,R368380
R676699,R717056
R239087,R367510
R759657,R618485
R484119,R535002
R551538,R648346
R854941,R359538
R830103,R265339
R526220,R960405
R765068,R254599
R500306,R188472
R546874,R238911
R942217,R832210
R914335,R620364
R822114,R354592
R165928,R943132
R511887,R272119
R419868,R518128
R812318,R999180
R543791,R551395
R336369,R500129
R515191,R799028
R754044,R405660
R579107,R850879
R498904,R196354
R930807,R331479
R571577,R760514
R636916,R423948
R193981,R539078
R891343,R630577
R190870,R496543
R823988,R979791
R964722,R515922
R443222,R822347
R931589,R456058
R652663,R743446
R505107,R631513
R344312,R732176
R918353,R193787
R314303,R979776
R840625,R613466
R979703,R684300
R975880,R356546
R555305,R820682
R639949,R868946
R491431,R160541
R935125,R242333
R889080,R561362
R436049,R233313
R599562,R449573
R301667,R417634
R709164,R873175
R775611,R479456
R571118,R213749
R364691,R598409
R291101,R603942
R901990,R423381
R728474,R125378
R726226,R989907
R650992,R247544
R514985,R135362
R783677,R814263
R627869,R543998
R264221,R839648
R612053,R221359
R965728,R355877
R111870,R896719
R303621,R954132
R195186,R683476
R535463,R575254
R383841,R290091
R163024,R635423
R942678,R386624
R476525,R606025
R871357,R634330
R411568,R939965
R397002,R285885
R202543,R691445
R254205,R230500
R562670,R229935
R130641,R503524
R179545,R845933
R690184,R166117
R471858,R180453
R452935,R982986
